user_id,touch_date,channel,campaign_id,session_id,utm_source,month,day
U1038,2025-03-11,LinkedIn,L001,S26032,LinkedIn,3,Tuesday
U1038,2025-03-12,LinkedIn,L001,S30079,LinkedIn,3,Wednesday
U1038,2025-03-13,Google Ads,G001,S41419,Google Ads,3,Thursday
U1039,2025-01-02,Google Ads,G001,S95514,Google Ads,1,Thursday
U1039,2025-01-03,Facebook,F001,S86918,Facebook,1,Friday
U1039,2025-01-04,TikTok,T001,S43572,TikTok,1,Saturday
U1040,2025-01-09,Facebook,F001,S27771,Facebook,1,Thursday
U1040,2025-01-10,TikTok,T001,S58285,TikTok,1,Friday
U1040,2025-01-11,TikTok,T001,S96143,TikTok,1,Saturday
U1041,2025-01-14,Google Ads,G002,S70774,Google Ads,1,Tuesday
U1041,2025-01-15,Google Ads,G002,S61693,Google Ads,1,Wednesday
U1041,2025-01-16,TikTok,T001,S86908,TikTok,1,Thursday
U1041,2025-01-17,Facebook,F001,S66133,Facebook,1,Friday
U1041,2025-01-18,Facebook,F002,S48243,Facebook,1,Saturday
U1042,2025-02-07,Facebook,F001,S88411,Facebook,2,Friday
U1042,2025-02-08,LinkedIn,L001,S26725,LinkedIn,2,Saturday
U1043,2025-01-27,Google Ads,G001,S14263,Google Ads,1,Monday
U1043,2025-01-28,Facebook,F002,S57924,Facebook,1,Tuesday
U1044,2025-01-10,Google Ads,G001,S99563,Google Ads,1,Friday
U1044,2025-01-11,Facebook,F002,S96145,Facebook,1,Saturday
U1044,2025-01-12,TikTok,T001,S71120,TikTok,1,Sunday
U1044,2025-01-13,LinkedIn,L001,S97410,LinkedIn,1,Monday
U1045,2025-01-29,Google Ads,G001,S99599,Google Ads,1,Wednesday
U1045,2025-01-30,TikTok,T001,S21046,TikTok,1,Thursday
U1045,2025-01-31,TikTok,T001,S38769,TikTok,1,Friday
U1046,2025-01-24,Facebook,F002,S31792,Facebook,1,Friday
U1046,2025-01-25,Facebook,F002,S77298,Facebook,1,Saturday
U1046,2025-01-26,TikTok,T001,S34058,unknown,1,Sunday
U1046,2025-01-27,Google Ads,G001,S42921,Google Ads,1,Monday
U1047,2025-03-14,Google Ads,G002,S44008,Google Ads,3,Friday
U1047,2025-03-15,Google Ads,G001,S23350,Google Ads,3,Saturday
U1047,2025-03-16,LinkedIn,L001,S44020,LinkedIn,3,Sunday
U1048,2025-02-13,LinkedIn,L001,S98929,LinkedIn,2,Thursday
U1048,2025-02-14,TikTok,T001,S79626,TikTok,2,Friday
U1048,2025-02-15,Google Ads,G001,S46408,Google Ads,2,Saturday
U1048,2025-02-16,LinkedIn,L001,S30491,LinkedIn,2,Sunday
U1048,2025-02-17,Facebook,F002,S81431,Facebook,2,Monday
U1049,2025-01-21,Google Ads,G001,S68053,Google Ads,1,Tuesday
U1049,2025-01-22,TikTok,T001,S72552,TikTok,1,Wednesday
U1049,2025-01-23,TikTok,T001,S37935,TikTok,1,Thursday
U1049,2025-01-24,Facebook,F002,S22182,Facebook,1,Friday
U1050,2025-01-07,Facebook,F001,S79768,Facebook,1,Tuesday
U1050,2025-01-08,LinkedIn,L001,S93441,LinkedIn,1,Wednesday
U1050,2025-01-09,LinkedIn,L001,S16737,LinkedIn,1,Thursday
U1051,2025-02-08,LinkedIn,L001,S76150,LinkedIn,2,Saturday
U1051,2025-02-09,Google Ads,G002,S45435,Google Ads,2,Sunday
U1051,2025-02-10,TikTok,T001,S92050,TikTok,2,Monday
U1051,2025-02-11,Google Ads,G001,S30662,Google Ads,2,Tuesday
U1052,2025-02-08,LinkedIn,L001,S54547,LinkedIn,2,Saturday
U1052,2025-02-09,Google Ads,G002,S37345,Google Ads,2,Sunday
U1052,2025-02-10,Google Ads,G002,S84859,Google Ads,2,Monday
U1052,2025-02-11,Facebook,F002,S62393,unknown,2,Tuesday
U1053,2025-01-30,LinkedIn,L001,S37788,LinkedIn,1,Thursday
U1053,2025-01-31,Facebook,F002,S49974,Facebook,1,Friday
U1053,2025-02-01,Facebook,F002,S61184,unknown,2,Saturday
U1054,2025-03-03,Google Ads,G002,S95431,Google Ads,3,Monday
U1054,2025-03-04,TikTok,T001,S60072,TikTok,3,Tuesday
U1055,2025-01-05,Google Ads,G002,S43933,unknown,1,Sunday
U1055,2025-01-06,TikTok,T001,S65619,TikTok,1,Monday
U1055,2025-01-07,Facebook,F002,S67775,Facebook,1,Tuesday
U1055,2025-01-08,Google Ads,G001,S45400,Google Ads,1,Wednesday
U1056,2025-02-18,Google Ads,G002,S53001,Google Ads,2,Tuesday
U1056,2025-02-19,Google Ads,G001,S47573,Google Ads,2,Wednesday
U1056,2025-02-20,LinkedIn,L001,S39757,LinkedIn,2,Thursday
U1056,2025-02-21,Google Ads,G002,S90435,Google Ads,2,Friday
U1057,2025-02-28,TikTok,T001,S91470,TikTok,2,Friday
U1057,2025-03-01,Facebook,F001,S44157,Facebook,3,Saturday
U1057,2025-03-02,Facebook,F001,S92856,Facebook,3,Sunday
U1057,2025-03-03,Google Ads,G002,S91412,Google Ads,3,Monday
U1057,2025-03-04,Google Ads,G002,S56600,Google Ads,3,Tuesday
U1058,2025-01-20,Facebook,F001,S17657,Facebook,1,Monday
U1058,2025-01-21,LinkedIn,L001,S36685,LinkedIn,1,Tuesday
U1058,2025-01-22,Google Ads,G002,S17906,Google Ads,1,Wednesday
U1058,2025-01-23,Facebook,F001,S85758,Facebook,1,Thursday
U1059,2025-03-14,TikTok,T001,S27674,TikTok,3,Friday
U1059,2025-03-15,Google Ads,G002,S75160,Google Ads,3,Saturday
U1060,2025-01-25,Facebook,F002,S56542,unknown,1,Saturday
U1060,2025-01-26,TikTok,T001,S68762,TikTok,1,Sunday
U1060,2025-01-27,LinkedIn,L001,S43742,LinkedIn,1,Monday
U1060,2025-01-28,Facebook,F002,S80831,Facebook,1,Tuesday
U1061,2025-01-18,Facebook,F001,S13020,Facebook,1,Saturday
U1061,2025-01-19,TikTok,T001,S55648,unknown,1,Sunday
U1061,2025-01-20,Facebook,F002,S12396,Facebook,1,Monday
U1062,2025-02-27,LinkedIn,L001,S40561,LinkedIn,2,Thursday
U1062,2025-02-28,TikTok,T001,S96231,TikTok,2,Friday
U1062,2025-03-01,LinkedIn,L001,S77675,LinkedIn,3,Saturday
U1062,2025-03-02,Google Ads,G001,S93624,Google Ads,3,Sunday
U1063,2025-02-14,Google Ads,G001,S96206,Google Ads,2,Friday
U1063,2025-02-15,LinkedIn,L001,S32534,LinkedIn,2,Saturday
U1064,2025-02-14,Facebook,F001,S57638,unknown,2,Friday
U1064,2025-02-15,Facebook,F002,S87236,Facebook,2,Saturday
U1065,2025-02-08,LinkedIn,L001,S58845,unknown,2,Saturday
U1065,2025-02-09,Google Ads,G001,S85713,Google Ads,2,Sunday
U1065,2025-02-10,TikTok,T001,S85418,TikTok,2,Monday
U1066,2025-01-17,TikTok,T001,S22987,TikTok,1,Friday
U1066,2025-01-18,TikTok,T001,S11007,TikTok,1,Saturday
U1067,2025-01-30,LinkedIn,L001,S52207,LinkedIn,1,Thursday
U1067,2025-01-31,Facebook,F001,S36660,Facebook,1,Friday
U1067,2025-02-01,Google Ads,G002,S93807,Google Ads,2,Saturday
U1068,2025-03-09,LinkedIn,L001,S90395,LinkedIn,3,Sunday
U1068,2025-03-10,Facebook,F001,S30953,Facebook,3,Monday
U1068,2025-03-11,TikTok,T001,S77889,unknown,3,Tuesday
U1068,2025-03-12,Facebook,F002,S31195,Facebook,3,Wednesday
U1068,2025-03-13,TikTok,T001,S31427,TikTok,3,Thursday
U1069,2025-03-17,LinkedIn,L001,S54064,unknown,3,Monday
U1069,2025-03-18,Facebook,F001,S37082,Facebook,3,Tuesday
U1070,2025-01-26,Facebook,F002,S24288,Facebook,1,Sunday
U1070,2025-01-27,LinkedIn,L001,S91958,LinkedIn,1,Monday
U1070,2025-01-28,LinkedIn,L001,S85932,LinkedIn,1,Tuesday
U1071,2025-02-01,Facebook,F001,S13093,Facebook,2,Saturday
U1071,2025-02-02,LinkedIn,L001,S54413,LinkedIn,2,Sunday
U1071,2025-02-03,TikTok,T001,S43756,unknown,2,Monday
U1071,2025-02-04,Google Ads,G001,S38602,Google Ads,2,Tuesday
U1072,2025-01-06,LinkedIn,L001,S15626,LinkedIn,1,Monday
U1072,2025-01-07,Google Ads,G002,S29982,Google Ads,1,Tuesday
U1072,2025-01-08,Facebook,F001,S94976,Facebook,1,Wednesday
U1072,2025-01-09,Google Ads,G002,S48158,Google Ads,1,Thursday
U1072,2025-01-10,TikTok,T001,S31563,TikTok,1,Friday
U1073,2025-01-17,Google Ads,G001,S92970,Google Ads,1,Friday
U1073,2025-01-18,Facebook,F002,S71788,Facebook,1,Saturday
U1073,2025-01-19,TikTok,T001,S15655,TikTok,1,Sunday
U1074,2025-01-03,TikTok,T001,S78760,TikTok,1,Friday
U1074,2025-01-04,Facebook,F002,S38541,Facebook,1,Saturday
U1074,2025-01-05,TikTok,T001,S18712,TikTok,1,Sunday
U1074,2025-01-06,Facebook,F002,S15109,Facebook,1,Monday
U1074,2025-01-07,Google Ads,G001,S92503,Google Ads,1,Tuesday
U1075,2025-03-05,Google Ads,G001,S36589,unknown,3,Wednesday
U1075,2025-03-06,TikTok,T001,S72046,TikTok,3,Thursday
U1075,2025-03-07,Facebook,F002,S51688,Facebook,3,Friday
U1075,2025-03-08,Google Ads,G002,S40087,Google Ads,3,Saturday
U1076,2025-02-20,TikTok,T001,S49499,TikTok,2,Thursday
U1076,2025-02-21,Google Ads,G002,S84319,Google Ads,2,Friday
U1076,2025-02-22,Facebook,F002,S45488,Facebook,2,Saturday
U1076,2025-02-23,Facebook,F002,S73483,unknown,2,Sunday
U1077,2025-01-02,Google Ads,G001,S93869,Google Ads,1,Thursday
U1077,2025-01-03,Google Ads,G001,S60069,unknown,1,Friday
U1078,2025-03-07,Facebook,F001,S85897,Facebook,3,Friday
U1078,2025-03-08,Facebook,F001,S19078,Facebook,3,Saturday
U1078,2025-03-09,TikTok,T001,S81626,TikTok,3,Sunday
U1078,2025-03-10,Google Ads,G001,S93976,Google Ads,3,Monday
U1079,2025-03-14,LinkedIn,L001,S43320,LinkedIn,3,Friday
U1079,2025-03-15,Facebook,F002,S36289,Facebook,3,Saturday
U1079,2025-03-16,TikTok,T001,S23629,TikTok,3,Sunday
U1080,2025-01-07,LinkedIn,L001,S76435,LinkedIn,1,Tuesday
U1080,2025-01-08,Facebook,F002,S43662,Facebook,1,Wednesday
U1080,2025-01-09,LinkedIn,L001,S46877,unknown,1,Thursday
U1080,2025-01-10,LinkedIn,L001,S82715,LinkedIn,1,Friday
U1081,2025-01-12,Google Ads,G001,S36745,Google Ads,1,Sunday
U1081,2025-01-13,LinkedIn,L001,S62579,LinkedIn,1,Monday
U1081,2025-01-14,Google Ads,G002,S12356,Google Ads,1,Tuesday
U1081,2025-01-15,LinkedIn,L001,S99899,unknown,1,Wednesday
U1082,2025-03-11,Facebook,F001,S12920,Facebook,3,Tuesday
U1082,2025-03-12,LinkedIn,L001,S89561,LinkedIn,3,Wednesday
U1082,2025-03-13,LinkedIn,L001,S26309,LinkedIn,3,Thursday
U1083,2025-03-20,Google Ads,G001,S82541,Google Ads,3,Thursday
U1083,2025-03-21,Google Ads,G001,S84131,Google Ads,3,Friday
U1083,2025-03-22,Google Ads,G002,S49443,Google Ads,3,Saturday
U1083,2025-03-23,TikTok,T001,S90818,unknown,3,Sunday
U1084,2025-02-05,Facebook,F001,S87539,Facebook,2,Wednesday
U1084,2025-02-06,Facebook,F001,S55350,Facebook,2,Thursday
U1084,2025-02-07,Facebook,F001,S52229,Facebook,2,Friday
U1084,2025-02-08,Google Ads,G002,S94878,Google Ads,2,Saturday
U1084,2025-02-09,Google Ads,G001,S36723,Google Ads,2,Sunday
U1085,2025-02-11,TikTok,T001,S59153,TikTok,2,Tuesday
U1085,2025-02-12,LinkedIn,L001,S54965,LinkedIn,2,Wednesday
U1085,2025-02-13,Google Ads,G001,S80135,Google Ads,2,Thursday
U1085,2025-02-14,LinkedIn,L001,S79350,LinkedIn,2,Friday
U1085,2025-02-15,Facebook,F001,S77649,Facebook,2,Saturday
U1086,2025-01-05,LinkedIn,L001,S96475,LinkedIn,1,Sunday
U1086,2025-01-06,TikTok,T001,S62233,TikTok,1,Monday
U1086,2025-01-07,LinkedIn,L001,S86367,LinkedIn,1,Tuesday
U1086,2025-01-08,Facebook,F001,S29816,Facebook,1,Wednesday
U1087,2025-01-05,TikTok,T001,S33499,TikTok,1,Sunday
U1087,2025-01-06,Google Ads,G001,S81635,Google Ads,1,Monday
U1088,2025-02-06,LinkedIn,L001,S19847,LinkedIn,2,Thursday
U1088,2025-02-07,TikTok,T001,S93310,TikTok,2,Friday
U1088,2025-02-08,LinkedIn,L001,S93194,LinkedIn,2,Saturday
U1088,2025-02-09,Google Ads,G002,S91537,Google Ads,2,Sunday
U1088,2025-02-10,Google Ads,G001,S10281,Google Ads,2,Monday
U1089,2025-01-01,LinkedIn,L001,S86260,LinkedIn,1,Wednesday
U1089,2025-01-02,Google Ads,G001,S19200,Google Ads,1,Thursday
U1090,2025-03-19,TikTok,T001,S45057,TikTok,3,Wednesday
U1090,2025-03-20,TikTok,T001,S75661,TikTok,3,Thursday
U1090,2025-03-21,Facebook,F001,S25398,Facebook,3,Friday
U1090,2025-03-22,LinkedIn,L001,S16570,LinkedIn,3,Saturday
U1091,2025-01-23,TikTok,T001,S49062,TikTok,1,Thursday
U1091,2025-01-24,TikTok,T001,S88131,TikTok,1,Friday
U1091,2025-01-25,TikTok,T001,S92811,TikTok,1,Saturday
U1092,2025-01-08,Facebook,F001,S33196,Facebook,1,Wednesday
U1092,2025-01-09,TikTok,T001,S58320,TikTok,1,Thursday
U1092,2025-01-10,LinkedIn,L001,S98009,LinkedIn,1,Friday
U1092,2025-01-11,Facebook,F002,S34089,Facebook,1,Saturday
U1093,2025-02-16,TikTok,T001,S60138,TikTok,2,Sunday
U1093,2025-02-17,TikTok,T001,S40659,TikTok,2,Monday
U1093,2025-02-18,Google Ads,G001,S57055,Google Ads,2,Tuesday
U1093,2025-02-19,Facebook,F001,S36984,Facebook,2,Wednesday
U1093,2025-02-20,Facebook,F002,S27087,Facebook,2,Thursday
U1094,2025-03-04,Google Ads,G001,S82460,Google Ads,3,Tuesday
U1094,2025-03-05,Google Ads,G001,S76024,Google Ads,3,Wednesday
U1094,2025-03-06,LinkedIn,L001,S39165,LinkedIn,3,Thursday
U1095,2025-01-19,Facebook,F002,S35426,Facebook,1,Sunday
U1095,2025-01-20,Google Ads,G001,S61924,Google Ads,1,Monday
U1095,2025-01-21,LinkedIn,L001,S19108,LinkedIn,1,Tuesday
U1095,2025-01-22,LinkedIn,L001,S93360,LinkedIn,1,Wednesday
U1095,2025-01-23,Google Ads,G002,S32443,Google Ads,1,Thursday
U1096,2025-01-11,LinkedIn,L001,S70233,LinkedIn,1,Saturday
U1096,2025-01-12,Facebook,F002,S32612,Facebook,1,Sunday
U1096,2025-01-13,Facebook,F002,S41348,Facebook,1,Monday
U1097,2025-01-26,Google Ads,G002,S63551,Google Ads,1,Sunday
U1097,2025-01-27,Google Ads,G001,S83770,Google Ads,1,Monday
U1098,2025-03-11,Facebook,F002,S68348,Facebook,3,Tuesday
U1098,2025-03-12,Google Ads,G001,S79967,Google Ads,3,Wednesday
U1098,2025-03-13,LinkedIn,L001,S49310,unknown,3,Thursday
U1098,2025-03-14,Google Ads,G002,S55379,Google Ads,3,Friday
U1098,2025-03-15,Google Ads,G001,S56881,Google Ads,3,Saturday
U1099,2025-03-09,TikTok,T001,S46378,TikTok,3,Sunday
U1099,2025-03-10,Google Ads,G001,S64691,Google Ads,3,Monday
U1099,2025-03-11,Facebook,F002,S53596,Facebook,3,Tuesday
U1100,2025-03-16,LinkedIn,L001,S58713,LinkedIn,3,Sunday
U1100,2025-03-17,LinkedIn,L001,S13654,LinkedIn,3,Monday
U1100,2025-03-18,LinkedIn,L001,S84172,LinkedIn,3,Tuesday
U1100,2025-03-19,Facebook,F002,S22149,Facebook,3,Wednesday
U1100,2025-03-20,LinkedIn,L001,S31675,LinkedIn,3,Thursday
U1101,2025-02-14,Facebook,F001,S90758,Facebook,2,Friday
U1101,2025-02-15,Facebook,F002,S19435,Facebook,2,Saturday
U1101,2025-02-16,Google Ads,G002,S91929,Google Ads,2,Sunday
U1101,2025-02-17,TikTok,T001,S85388,TikTok,2,Monday
U1101,2025-02-18,Facebook,F002,S44084,Facebook,2,Tuesday
U1102,2025-02-19,TikTok,T001,S17227,TikTok,2,Wednesday
U1102,2025-02-20,LinkedIn,L001,S75681,LinkedIn,2,Thursday
U1102,2025-02-21,LinkedIn,L001,S78576,LinkedIn,2,Friday
U1102,2025-02-22,LinkedIn,L001,S74174,LinkedIn,2,Saturday
U1102,2025-02-23,Google Ads,G001,S27014,Google Ads,2,Sunday
U1103,2025-01-22,TikTok,T001,S43755,TikTok,1,Wednesday
U1103,2025-01-23,LinkedIn,L001,S67993,LinkedIn,1,Thursday
U1104,2025-03-19,Google Ads,G001,S96936,unknown,3,Wednesday
U1104,2025-03-20,Facebook,F002,S75108,Facebook,3,Thursday
U1105,2025-03-08,Facebook,F002,S65754,Facebook,3,Saturday
U1105,2025-03-09,LinkedIn,L001,S61501,LinkedIn,3,Sunday
U1105,2025-03-10,LinkedIn,L001,S43893,LinkedIn,3,Monday
U1106,2025-02-01,LinkedIn,L001,S22323,LinkedIn,2,Saturday
U1106,2025-02-02,TikTok,T001,S83379,TikTok,2,Sunday
U1106,2025-02-03,LinkedIn,L001,S64624,LinkedIn,2,Monday
U1107,2025-03-11,Google Ads,G001,S82240,unknown,3,Tuesday
U1107,2025-03-12,TikTok,T001,S20756,unknown,3,Wednesday
U1107,2025-03-13,TikTok,T001,S24484,TikTok,3,Thursday
